"Nutrient (unit)","Stripped Name","Group","RDA","Comment"
"Protein (g)","Protein","Macro",56,
"Carbohydrates (g)","Carbohydrates","Macro",130,
"Fiber (g)","Fiber","Macro",38,
"Calcium (mg)","Calcium","Mineral",1000,
"Copper (mg)","Copper","Mineral",0.9,
"Fluoride (mcg)","Fluoride","Mineral",4000,
"Iron (mg)","Iron","Mineral",8,
"Magnesium (mg)","Magnesium","Mineral",400,
"Manganese (mg)","Manganese","Mineral",2.3,
"Phosphorus (mg)","Phosphorus","Mineral",700,
"Potassium (mg)","Potassium","Mineral",4700,
"Selenium (mcg)","Selenium","Mineral",55,
"Sodium (mg)","Sodium","Mineral",1500,
"Zinc (mg)","Zinc","Mineral",11,
"Vitamin A (IU)","Vitamin A","Vitamin",3000,
"Thiamin (B1) (mg)","Vitamin B1","Vitamin",1.2,
"Riboflavin (B2) (mg)","Vitamin B2","Vitamin",1.3,
"Niacin (B3) (mg)","Vitamin B3","Vitamin",16,
"Vitamin B5 (mg)","Vitamin B5","Vitamin",5,"Pantothenic acid"
"Vitamin B6 (mg)","Vitamin B6","Vitamin",1.3,
"Folate (B9) (mcg)","Vitamin B9","Vitamin",400,
"Vitamin B12 (mcg)","Vitamin B12","Vitamin",2.4,
"Vitamin C (mg)","Vitamin C","Vitamin",90,
"Vitamin D (mcg)","Vitamin D","Vitamin",15,
"Vitamin E (mg)","Vitamin E","Vitamin",15,
"Choline (mg)","Choline","Vitamin",550,
