"Stripped Name","Nutrient"
"Protein","Protein (g)"
"Carbohydrates","Carbohydrates (g)"
"Fiber","Fiber (g)"
"Calcium","Calcium (mg)"
"Copper","Copper (mg)"
"Fluoride","Fluoride (mcg)"
"Iron","Iron (mg)"
"Magnesium","Magnesium (mg)"
"Manganese","Manganese (mg)"
"Phosphorus","Phosphorus (mg)"
"Potassium","Potassium (mg)"
"Selenium","Selenium (mcg)"
"Sodium","Sodium (mg)"
"Zinc","Zinc (mg)"
"Vitamin A","Vitamin A (IU)"
"Vitamin B1","Thiamin (B1) (mg)"
"Vitamin B2","Riboflavin (B2) (mg)"
"Vitamin B3","Niacin (B3) (mg)"
"Vitamin B5","Vitamin B5 (mg)"
"Vitamin B6","Vitamin B6 (mg)"
"Vitamin B9","Folate (B9) (mcg)"
"Vitamin B12","Vitamin B12 (mcg)"
"Vitamin C","Vitamin C (mg)"
"Vitamin D","Vitamin D (mcg)"
"Vitamin E","Vitamin E (mg)"
"Choline","Choline (mg)"
